WOORI	172.11.1.2
[172-11-1-157.lightspeed.jcvlfl.sbcglobal.net](172-11-1-157.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.157
2층-접수1	172.11.1.165
2층-접수2	172.11.1.166
2층-접수3	172.11.1.167
2층-접수4	172.11.1.168
3층-접수1	172.11.1.169
3층-접수2	172.11.1.170
3층-접수3	172.11.1.171
4층-접수1	172.11.1.172
4층-접수2	172.11.1.173
4층-접수3	172.11.1.174
[172-11-1-201.lightspeed.jcvlfl.sbcglobal.net](172-11-1-201.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.201
[172-11-1-202.lightspeed.jcvlfl.sbcglobal.net](172-11-1-202.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.202
[172-11-1-211.lightspeed.jcvlfl.sbcglobal.net](172-11-1-211.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.211
[172-11-1-241.lightspeed.jcvlfl.sbcglobal.net](172-11-1-241.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.241
[172-11-1-254.lightspeed.jcvlfl.sbcglobal.net](172-11-1-254.lightspeed.jcvlfl.sbcglobal.net)         172.11.1.254




[172-12-2-6.lightspeed.sgnwmi.sbcglobal.net](172-12-2-6.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.6
3층-본부장실 172.12.2.7
[172-12-2-10.lightspeed.sgnwmi.sbcglobal.net](172-12-2-10.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.10
[172-12-2-11.lightspeed.sgnwmi.sbcglobal.net](172-12-2-11.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.11
[172-12-2-12.lightspeed.sgnwmi.sbcglobal.net](172-12-2-12.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.12
[172-12-2-13.lightspeed.sgnwmi.sbcglobal.net](172-12-2-13.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.13
[172-12-2-14.lightspeed.sgnwmi.sbcglobal.net](172-12-2-14.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.14
[172-12-2-15.lightspeed.sgnwmi.sbcglobal.net](172-12-2-15.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.15
[172-12-2-16.lightspeed.sgnwmi.sbcglobal.net](172-12-2-16.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.16
[172-12-2-17.lightspeed.sgnwmi.sbcglobal.net](172-12-2-17.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.17
BRWF0A654FBD102 172.12.2.18
[172-12-2-20.lightspeed.sgnwmi.sbcglobal.net](172-12-2-20.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.20
[172-12-2-21.lightspeed.sgnwmi.sbcglobal.net](172-12-2-21.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.21
[172-12-2-22.lightspeed.sgnwmi.sbcglobal.net](172-12-2-22.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.22
[172-12-2-23.lightspeed.sgnwmi.sbcglobal.net](172-12-2-23.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.23
[172-12-2-24.lightspeed.sgnwmi.sbcglobal.net](172-12-2-24.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.24
[172-12-2-25.lightspeed.sgnwmi.sbcglobal.net](172-12-2-25.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.25
[172-12-2-26.lightspeed.sgnwmi.sbcglobal.net](172-12-2-26.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.26
[172-12-2-27.lightspeed.sgnwmi.sbcglobal.net](172-12-2-27.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.27
BRWA83B7605AC32 172.12.2.28
[172-12-2-29.lightspeed.sgnwmi.sbcglobal.net](172-12-2-29.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.29
BRWFCB0DEE74412 172.12.2.30
[172-12-2-31.lightspeed.sgnwmi.sbcglobal.net](172-12-2-31.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.31
